datetime_str,x,y,z,vx,vy,vz
A.D. 2025-Mar-12 00:00:00.0000,-0.9821855305064456,0.1500620919115185,-4.434161200229391e-06,-0.002874113548011314,-0.017065727809267,1.532642645315768e-06
A.D. 2025-Mar-17 00:00:00.0000,-0.9928593214341757,0.06428026393667755,3.587868877067547e-06,-0.001393770355114217,-0.01722666768667171,1.55410122509745e-06
A.D. 2025-Mar-22 00:00:00.0000,-0.9961106740502997,-0.02199937766301594,1.009460957468451e-05,9.400683478377182e-05,-0.01726436595134412,9.818061980156387e-07
A.D. 2025-Mar-27 00:00:00.0000,-0.9919177154414294,-0.1081504718270238,1.327640795266359e-05,0.001582531454657712,-0.01717413567960748,3.499854362831302e-07
A.D. 2025-Apr-01 00:00:00.0000,-0.980306657473339,-0.1935141489038212,1.498630022526094e-05,0.003057689999970376,-0.01694841777733513,5.102168370891322e-07
A.D. 2025-Apr-06 00:00:00.0000,-0.9614025741740005,-0.2774154622091367,1.939520844429701e-05,0.004496534623873038,-0.01659161085054173,1.247698986676347e-06
A.D. 2025-Apr-11 00:00:00.0000,-0.9354192249754653,-0.3592367085831601,2.667546627808443e-05,0.005888815690683691,-0.0161183333441226,1.547608798597272e-06
A.D. 2025-Apr-16 00:00:00.0000,-0.9025959854468596,-0.4384175842485909,3.370227940173726e-05,0.007232110841220374,-0.0155361502594525,1.164740850646424e-06
A.D. 2025-Apr-21 00:00:00.0000,-0.8631852055348341,-0.5144199992780509,3.774225652241541e-05,0.008523041003027225,-0.01484692684119668,4.451626827453276e-07
A.D. 2025-Apr-26 00:00:00.0000,-0.8174644732459924,-0.5867054346818527,3.878990419215381e-05,0.009754252315745346,-0.01404878447668828,1.12505451799713e-07
A.D. 2025-May-01 00:00:00.0000,-0.7657711080880074,-0.6547254624275026,4.048359232880415e-05,0.01090836740865031,-0.01314208848243839,6.713460171392313e-07
A.D. 2025-May-06 00:00:00.0000,-0.7085364652237506,-0.7179734314160633,4.5422353236195e-05,0.01196978912032302,-0.01214339898149468,1.211254827844609e-06
A.D. 2025-May-11 00:00:00.0000,-0.6462284900804688,-0.7760320665332736,5.143234554395169e-05,0.01293800211718213,-0.01106801718847821,1.077881464396329e-06
A.D. 2025-May-16 00:00:00.0000,-0.5793099813635559,-0.8285377693220315,5.530621274384058e-05,0.01381402227704165,-0.009922987859301237,4.214163040179899e-07
A.D. 2025-May-21 00:00:00.0000,-0.5082442740356653,-0.8751502308907205,5.571530841063381e-05,0.01459622880462521,-0.008710828246748153,-1.859185578929883e-07
A.D. 2025-May-26 00:00:00.0000,-0.4335173570982763,-0.9155345369234692,5.476231455466122e-05,0.01527620627474046,-0.007432067014318959,-3.51783511603929e-08
A.D. 2025-May-31 00:00:00.0000,-0.3556799116817557,-0.9493764730628254,5.630437538250102e-05,0.01583823318969168,-0.006097230072398509,6.348630555849988e-07
A.D. 2025-Jun-05 00:00:00.0000,-0.2753370985721027,-0.9764491626191264,6.01614593676095e-05,0.01627924898901783,-0.004727265831529101,7.843388852677892e-07
A.D. 2025-Jun-10 00:00:00.0000,-0.1930791793713564,-0.9966104606327231,6.304752991069022e-05,0.01660512349595413,-0.003333953396574373,2.864136831829675e-07
A.D. 2025-Jun-15 00:00:00.0000,-0.1094710488570139,-1.009759226226041,6.263651745694248e-05,0.01681975246287159,-0.001922796167665456,-4.320869730492228e-07
A.D. 2025-Jun-20 00:00:00.0000,-0.0250678066411282,-1.015811369591374,5.956326326517629e-05,0.01692234546642055,-0.0004954724643903933,-6.59221044641315e-07
A.D. 2025-Jun-25 00:00:00.0000,0.05954999270775089,-1.014694282372821,5.745218142587753e-05,0.01690346738470462,0.0009430237738209012,-9.814969536154174e-08
A.D. 2025-Jun-30 00:00:00.0000,0.1437511514740924,-1.006393668340203,5.837462322245469e-05,0.01675591810136594,0.002374127208397549,3.593378108370367e-07
A.D. 2025-Jul-05 00:00:00.0000,0.226907916070196,-0.9909950144448236,5.979861040960228e-05,0.01648752001153348,0.003780401595230625,1.000863124183336e-07
A.D. 2025-Jul-10 00:00:00.0000,0.3084404684704414,-0.9686437769318631,5.861527940942991e-05,0.01610752673983882,0.005154327013402118,-6.053851242422628e-07
A.D. 2025-Jul-15 00:00:00.0000,0.387807598576649,-0.9395103766003982,5.405404334169104e-05,0.01562188836426235,0.006493196778406062,-1.119820094051109e-06
A.D. 2025-Jul-20 00:00:00.0000,0.4644805714284777,-0.9037717499432497,4.882329669400529e-05,0.01502872363871284,0.007795689209162736,-8.326839129179204e-07
A.D. 2025-Jul-25 00:00:00.0000,0.5379035364775092,-0.8616328825748995,4.640380681985702e-05,0.01432129404350026,0.009050152510534048,-1.673351765104451e-07
A.D. 2025-Jul-30 00:00:00.0000,0.6075108001610215,-0.8133834796812678,4.609101582505675e-05,0.01350456307047307,0.01023714579955422,-9.03263178166392e-08
A.D. 2025-Aug-04 00:00:00.0000,0.6727902698148707,-0.7593914427336499,4.441226389853666e-05,0.01259234080399227,0.01134631078294031,-6.536809805335355e-07
A.D. 2025-Aug-09 00:00:00.0000,0.7332940777221015,-0.7000556741613969,3.931707976200112e-05,0.01159593435598679,0.0123744732943551,-1.346482952550175e-06
A.D. 2025-Aug-14 00:00:00.0000,0.7886202872544763,-0.6357797302638012,3.203001656820015e-05,0.0105214725551002,0.01332269388177909,-1.411551803547266e-06
