datetime_str,x,y,z,vx,vy,vz
A.D. 2025-Jan-01 00:00:00.0000,0.5975712079244104,-2.70675352376154,1.82378765363217,0.00842174928838084,8.001066333465005e-05,-0.0007820226195588483
A.D. 2025-Jan-06 00:00:00.0000,0.6396180956107568,-2.706079941600578,1.819693280057378,0.008396741754533981,0.0001893346634264411,-0.0008556433961578284
A.D. 2025-Jan-11 00:00:00.0000,0.681535998977032,-2.704861056514429,1.815232055427879,0.008370158308680186,0.0002981310381733456,-0.0009287627203202462
A.D. 2025-Jan-16 00:00:00.0000,0.7233170792756733,-2.703099518393952,1.810406491776208,0.00834201519302451,0.0004063951136151917,-0.001001378692949379
A.D. 2025-Jan-21 00:00:00.0000,0.7649535777240344,-2.70079800005249,1.805219110500747,0.008312328150786452,0.0005141223892997635,-0.001073489465621462
A.D. 2025-Jan-26 00:00:00.0000,0.8064378130075344,-2.697959196435327,1.799672442129627,0.008281112426451482,0.0006213085082380914,-0.001145093233759406
A.D. 2025-Jan-31 00:00:00.0000,0.8477621787952382,-2.694585823970962,1.793769026117691,0.008248382769827561,0.0007279492296044781,-0.001216188230223677
A.D. 2025-Feb-05 00:00:00.0000,0.8889191412805648,-2.690680620060522,1.787511410674218,0.008214153442071465,0.0008340404000148599,-0.001286772719480962
A.D. 2025-Feb-10 00:00:00.0000,0.9299012367613277,-2.68624634272478,1.780902152617152,0.008178438226321107,0.0009395779182781943,-0.001356844992989186
A.D. 2025-Feb-15 00:00:00.0000,0.9707010693043747,-2.6812857704545,1.773943817244707,0.00814125045382334,0.001044557688825952,-0.001426403367163221
A.D. 2025-Feb-20 00:00:00.0000,1.01131130863297,-2.675801702314497,1.766638978206492,0.008102603073347847,0.001148975570326631,-0.001495446185900411
A.D. 2025-Feb-25 00:00:00.0000,1.051724688555383,-2.669796958213495,1.758990217351231,0.008062508802694796,0.0012528273787634,-0.001563971826345849
A.D. 2025-Mar-02 00:00:00.0000,1.091934006280041,-2.663274378703564,1.751000124570639,0.008020980299150942,0.001356109103110817,-0.001631978689167961
A.D. 2025-Mar-07 00:00:00.0000,1.131932121897969,-2.656236823044765,1.742671297807984,0.007978029972475053,0.001458817333099392,-0.001699465138891766
A.D. 2025-Mar-12 00:00:00.0000,1.171711955495054,-2.648687165946328,1.734006343429322,0.007933669298226717,0.00156094920780207,-0.001766429437843225
A.D. 2025-Mar-17 00:00:00.0000,1.211266481594373,-2.640628296688337,1.725007876680585,0.007887908637951947,0.001662501626316411,-0.001832869787234987
A.D. 2025-Mar-22 00:00:00.0000,1.250588725007989,-2.632063121596163,1.715678521775335,0.007840757856122408,0.001763470887761676,-0.001898784406493118
A.D. 2025-Mar-27 00:00:00.0000,1.289671759559583,-2.622994566407269,1.706020911761083,0.007792226712244314,0.001863852991237909,-0.001964171538147385
A.D. 2025-Apr-01 00:00:00.0000,1.328508707580441,-2.613425576998745,1.696037688481182,0.007742324829817593,0.001963643907413581,-0.002029029416334928
A.D. 2025-Apr-06 00:00:00.0000,1.367092738935798,-2.603359119292514,1.685731502678937,0.007691061583666638,0.002062839648881363,-0.002093356244399578
A.D. 2025-Apr-11 00:00:00.0000,1.405417069601583,-2.592798179068442,1.675105014181699,0.007638446037030319,0.002161436255161669,-0.002157150184179301
A.D. 2025-Apr-16 00:00:00.0000,1.443474960040833,-2.581745761901603,1.664160892123657,0.007584486920012022,0.00225942976414683,-0.002220409350337866
A.D. 2025-Apr-21 00:00:00.0000,1.481259713526393,-2.570204893232718,1.652901815192477,0.007529192626723248,0.002356816188195957,-0.002283131806159593
A.D. 2025-Apr-26 00:00:00.0000,1.51876467446864,-2.55817861854476,1.641330471895992,0.007472571218872419,0.00245359149511013,-0.002345315559654459
A.D. 2025-May-01 00:00:00.0000,1.555983226766341,-2.54567000362983,1.629449560847998,0.007414630431057889,0.002549751590346656,-0.002406958559831807
A.D. 2025-May-06 00:00:00.0000,1.592908792186925,-2.532682134951351,1.617261791071611,0.00735537767756071,0.002645292295816491,-0.002468058693503839
A.D. 2025-May-11 00:00:00.0000,1.629534828793635,-2.519218120132246,1.604769882315507,0.007294820065850211,0.002740209319765438,-0.002528613783542666
A.D. 2025-May-16 00:00:00.0000,1.66585482948793,-2.505281088623985,1.591976565371793,0.007232964433423377,0.002834498214913129,-0.0025886215903303
A.D. 2025-May-21 00:00:00.0000,1.70186232086568,-2.490874192582744,1.578884582374734,0.007169817443854937,0.002928154345237159,-0.002648079817994953
A.D. 2025-May-26 00:00:00.0000,1.737550862767367,-2.476000607707524,1.565496687065322,0.007105385764180002,0.003021172960808429,-0.002706986119300309
A.D. 2025-May-31 00:00:00.0000,1.772914048627992,-2.460663533074922,1.551815645090778,0.007039676146857902,0.003113549539756005,-0.00276533806995924
A.D. 2025-Jun-05 00:00:00.0000,1.807945505063081,-2.444866188951777,1.537844234565564,0.006972694987406109,0.00320528014122791,-0.002823133094023835
A.D. 2025-Jun-10 00:00:00.0000,1.842638888312388,-2.428611814547873,1.523585246950997,0.006904447686796543,0.003296360987105588,-0.002880368434597079
A.D. 2025-Jun-15 00:00:00.0000,1.876987879416037,-2.411903669256384,1.509041487790431,0.006834938875128794,0.003386787706060119,-0.002937041231377533
A.D. 2025-Jun-20 00:00:00.0000,1.910986182017171,-2.394745035987246,1.494215777055912,0.006764173037639173,0.003476555317718075,-0.002993148574713992
A.D. 2025-Jun-25 00:00:00.0000,1.944627522283746,-2.377139223310878,1.479110949421113,0.006692154692408448,0.003565658588684048,-0.003048687488082771
